Zoll (2,54 cm);inch (pl inches);Nomen;An inch is about two and a half centimetres.
Meile;mile;Nomen;I live ten miles from here.
mild;mild;Adjektiv;The forecast is for a really mild day tomorrow.
Niederschlag;rainfall;Nomen;The rainfall in the Amazon Rainforest can be very heavy.
aufzeichnen;record;Verb;He recorded a time of 15 minutes for his last race.
Meeresspiegel;sea level;Nomen;Death Valley is 282 feet below sea level.
Ausgangspunkt;starting point;Nomen;Sally's house was the starting point for our trip.
im ganzen Jahr;throughout the year;Phrase;In the Lake District it can be rainy throughout the year.
nass;wet;Adjektiv;All my clothes are wet because of the rain.
(Sonnen-)Bräune;tan;Nomen;You have a great tan.
Rad fahren;cycle;Verb;
Sportlerin;sportswoman;Nomen;
segeln;sailing;Nomen/Verb;
Sportler;sportsman;Nomen;
Fahrrad;bike;Nomen;
Yacht;yacht;Nomen;
eislaufen;ice skating;Nomen/Verb;
windsurfen;windsurfing;Nomen/Verb;
Rennen;race;Nomen;
Skateboard fahren;skateboarding;Nomen/Verb;
Rollschuh laufen;roller-skating;Nomen/Verb;
Kletterer, Kletterin;climber;Nomen;
Torwart;goalie;Nomen;
Spielstand, Punktzahl erzielen;score;Nomen/Verb;
Trainer/in;trainer;Nomen;
tritt, kicken;kick;Nomen/Verb;
erwachsen werden, aufwachsen;grow up;Verb;When I grow up I want to be an Olympic skier.
Profil, Porträt;profile;Nomen;Her profile describes her as a surfer in California.
Wettbewerb;competition;Nomen;I love taking part in competitions!
je(mals);ever;Adverb;Have you ever played volleyball?
sich verirren;get lost;Phrase;They went into the forest and got lost.
erscheinen;appear;Verb;Suddenly a ghost appeared.
einschlafen;fall asleep;Verb;My dad always falls asleep in front of the TV.
null;nil;Nomen;In the end the score was two - nil.
Ruhe, Pause;rest;Nomen;I needed some rest.
attackieren, niederrennen (im Sport);tackle;Verb;Helen tackled Eddie.
Zeitverschwendung;waste of time;Phrase;I've had enough. It's a waste of time.
Herausforderung;challenge;Nomen;A race around the world is a big challenge.
Klippe, Felsen;cliff;Nomen;He climbed up the cliff from the beach.
Bildung, Erziehung;education;Nomen;You get your education at school ... and at home!
extrem;extreme;Adjektiv;The weather at sea can be extreme sometimes.
sich etwas aussetzen;face something;Verb;Emma had to face many dangers on her trip.
ehemalig;former;Adjektiv;She went to visit one of her former teachers last week.
erfüllend, ausgefüllt;full;Adjektiv;His biggest wish is to live a full and happy life.
Orkan, Hurrikan;hurricane;Nomen;The hurricane hit Florida and destroyed many houses.
besessen;obsessed;Adjektiv;He was obsessed by his wish to climb mountains.
Meer, Ozean;ocean;Nomen;The oceans cover 2/3 of the Earth.
segeln;sail;Verb;She wants to sail around the world again.
Nervenkitzel;thrill;Nomen;Climbing is a big thrill for Tommy.
Gipfel, Spitze;top;Nomen;He climbed to the top of the mountain.
Seglerin;yachtswoman;Nomen;She is a yachtswoman and sailed around the world.
Freundschaft schließen;make friends;Phrase;Volleyball is a good way to make friends.
professionell, hauptberuflich;professional;Adjektiv;I want to play professional basketball.
